╔═══════════════════════════════════════════════════════╗
║   NodeFlux Multi-Node MySQL Monitor                   ║
║   Auto-discovers and monitors all MySQL containers    ║
╚═══════════════════════════════════════════════════════╝
InfluxDB: http://127.0.0.1:8086 | Org: capstone | Bucket: metrics
Poll: 1s | Discovery: 10s

[capstone_mysql_2] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.3% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/124396.3 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 0.9% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/75.3 KB/s
[capstone_mysql_1] CPU: 1.0% | Mem: 10.3% | Disk R/W: 4689.7/0.0 KB/s | Net R/W: 57.3/0.0 KB/s
[capstone_mysql_2] CPU: 0.9% | Mem: 10.3% | Disk R/W: 4128.3/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/75.1 KB/s
[capstone_mysql_1] CPU: 1.1% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/112934.6 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 39.1/52.6 KB/s
[capstone_mysql_1] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.7% | Mem: 10.3% | Disk R/W: 0.0/126646.5 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.7% | Mem: 10.3% | Disk R/W: 0.0/125488.6 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 55.9/0.0 KB/s
[capstone_mysql_2] CPU: 1.3% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 56.1/0.0 KB/s
[capstone_mysql_2] CPU: 1.5% | Mem: 10.3% | Disk R/W: 4151.8/0.0 KB/s | Net R/W: 0.0/76.5 KB/s
[capstone_mysql_1] CPU: 1.3% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.4% | Mem: 10.3% | Disk R/W: 4351.4/122412.7 KB/s | Net R/W: 54.5/0.0 KB/s
[capstone_mysql_2] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.5% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/78.6 KB/s
[capstone_mysql_2] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/77.1 KB/s
[capstone_mysql_2] CPU: 1.5% | Mem: 10.3% | Disk R/W: 4080.0/126900.3 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.6% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.3% | Mem: 10.3% | Disk R/W: 0.0/127713.1 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.4% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
