╔═══════════════════════════════════════════════════════╗
║   NodeFlux Multi-Node MySQL Monitor                   ║
║   Auto-discovers and monitors all MySQL containers    ║
╚═══════════════════════════════════════════════════════╝
InfluxDB: http://127.0.0.1:8086 | Org: capstone | Bucket: metrics
Poll: 1s | Discovery: 10s

[capstone_mysql_1] CPU: 1.0% | Mem: 10.3% | Disk R/W: 4601.6/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.5 KB/s
[capstone_mysql_2] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.3% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 0.9% | Mem: 10.3% | Disk R/W: 0.0/126885.9 KB/s | Net R/W: 0.0/26.4 KB/s
[capstone_mysql_1] CPU: 0.9% | Mem: 10.3% | Disk R/W: 0.0/126905.2 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/27.3 KB/s
[capstone_mysql_2] CPU: 2.5% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.5 KB/s
[capstone_mysql_2] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 21.8/0.0 KB/s
[capstone_mysql_1] CPU: 1.0% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_2] CPU: 2.0% | Mem: 10.3% | Disk R/W: 0.0/0.0 KB/s | Net R/W: 0.0/0.0 KB/s
[capstone_mysql_1] CPU: 1.2% | Mem: 10.3% | Disk R/W: 0.0/127574.5 KB/s | Net R/W: 22.0/0.0 KB/s
